SiteNo,GridNo,DeployDate,CollectionDate,GridClassification,UTM Coordinates 12U,UTM Coordinates mE,Check No,Check Date,Crew,Snow Depth Trail (cm),SnowDepthOffTrail (cm),SnowHardnessTrail (1-6),SnowHardnessOffTrail (1-6),PictureNo.,BattsChangedY/N,CameraRefusealY/N,Track Transet,CameraSiteInfo/Comments (Tracks/Sign/Disturbance/Change),SiteNo,Check Date,"PROBLEMS (DELETED SITE, MOVED SITE, TEMPORARY FAILURE)",KNOWN PERIOD OF MISSING DATA - START,KNOWN PERIOD OF MISSING DATA - END,TOTAL DAYS,
1,299,21-Oct-11,23-Oct-14,Lo-Con,0508021,6133345,1,23-Jan-12,JDE/LNO,26.5,31.0,2,2,91/92,N,N,SNHA,"On north side of creek, seismec all over, new sesimec every 50 meters approximately 2m from camera, camera will not be valuable no animal tracks",1,23-Jan-12,,,,0,
1,299,21-Oct-11,23-Oct-14,Lo-Con,0508021,6133345,2,18-Jun-12,LN/PL,N/A,N/A,N/A,N/A,203,N,N,,Wolf scat on seismic line,1,18-Jun-12,,,,0,
1,299,21-Oct-11,23-Oct-14,Lo-Con,0508021,6133345,3,15-Oct-12,LN/KT,N/A,N/A,N/A,N/A,700,Y,N,,Lynx scat on seismic line,1,15-Oct-12,,,,0,
1,299,21-Oct-11,23-Oct-14,Lo-Con,0508021,6133345,4,24-Jun-13,LN/LR,N/A,N/A,N/A,N/A,369,N,,,Caribou track on sesimec line,1,24-Jun-13,,,,0,
1,299,21-Oct-11,23-Oct-14,Lo-Con,0508021,6133345,5,21-Oct-13,LN/GC,N/A,N/A,N/A,N/A,216,Y,N,,"Caribou tracks on trail 30m to South 3D sesimec, no tracks obvious on game trail in front of camera",1,21-Oct-13,,,,0,
2,252,21-Oct-11,23-Oct-14,Lo-Con,0506851,6134232,1,23-Jan-12,JDE/LNO,19.0,20.0,4,4,93,N,N,SNHA," Lead core road intersection in mossy saddle, mad seismic new line 5m from trail, with charges & cable activity destroying area, helicopter laying charges lots of bunnies no deer tracks, snow crust 6cm from the ground",2,23-Jan-12,,,,0,
2,252,21-Oct-11,23-Oct-14,Lo-Con,0506851,6134232,2,18-Jun-12,LN/PL,N/A,N/A,N/A,N/A,207,N,N,,Wolf and lynx scat on seismic line,2,18-Jun-12,,,,0,
2,252,21-Oct-11,23-Oct-14,Lo-Con,0506851,6134232,3,15-Oct-12,LN/KT,N/A,N/A,N/A,N/A,228,Y,N,,"Caribou and deer tracks where truck is parked, all deer going around camera on seismic line now",2,15-Oct-12,,,,0,
2,252,21-Oct-11,23-Oct-14,Lo-Con,0506851,6134232,4,24-Jun-13,LN/LR,N/A,N/A,N/A,N/A,363,N,,,No comments,2,24-Jun-13,,,,0,
2,252,21-Oct-11,23-Oct-14,Lo-Con,0506851,6134232,5,21-Oct-13,LN/GC,N/A,N/A,N/A,N/A,125,Y,N,Sign of trail usage but no tracks identifiable in th moss forest floor,"One set of caribou tracks on sesimic line10m from camera, returned October 25th 2013 put in new SD card forgot to do it on the previous visit",2,21-Oct-13,,,,0,
,,,23-Oct-14,,,,,,,,,,,,,,,,2,23-Oct-14,Temporary Failure,04-Feb-14,23-Oct-14,261,
3,37,21-Oct-11,23-Oct-14,Up-Con,0491294,6135929,1,27-Jan-12,JDE/LNO,17.0,27.0,2,2,183,N,N,SNHA,"North of well site old growth, caribou tracks in area, not near camera on cutline/well pad ",3,27-Jan-12,,,,0,
3,37,21-Oct-11,23-Oct-14,Up-Con,0491294,6135929,2,18-Jun-12,LN/PL,N/A,N/A,N/A,N/A,210,N,N,,"Gate is now locked no turn around, wolf tracks on road",3,18-Jun-12,,,,0,
3,37,21-Oct-11,23-Oct-14,Up-Con,0491294,6135929,3,15-Oct-12,LN/KT,N/A,N/A,N/A,N/A,351,Y,N,,Caribou cow and calf tracks on well pad,3,15-Oct-12,,,,0,
3,37,21-Oct-11,23-Oct-14,Up-Con,0491294,6135929,4,24-Jun-13,LN/LR,N/A,N/A,N/A,N/A,227,N,,,"Fresh deer scat in camera range, bear tracks and scat nearby",3,24-Jun-13,,,,0,
3,37,21-Oct-11,23-Oct-14,Up-Con,0491294,6135929,5,21-Oct-13,LN/GC,N/A,N/A,N/A,N/A,84,Y,,Deer scat,Deer scat on trail,3,21-Oct-13,,,,0,
4,31,21-Oct-11,23-Oct-14,Up-Con,0490524,6139684,1,27-Jan-12,JDE/LNO,24.0,26.0,1,1,184/185,N,N,SNHA," Long trail along road small tree, Picture 184 blurry wolf tracks in area, 1 b/c no crust in here snow a bottom is mildly granular but no crust ",4,27-Jan-12,,,,0,
4,31,21-Oct-11,23-Oct-14,Up-Con,0490524,6139684,2,18-Jun-12,LN/PL,N/A,N/A,N/A,N/A,211,N,N,,No comments,4,18-Jun-12,,,,0,
4,31,21-Oct-11,23-Oct-14,Up-Con,0490524,6139684,3,15-Oct-12,LN/KT,N/A,N/A,N/A,N/A,504,Y,N,,No comments,4,15-Oct-12,,,,0,
4,31,21-Oct-11,23-Oct-14,Up-Con,0490524,6139684,4,24-Jun-13,LN/LR,N/A,N/A,N/A,N/A,483,N,,,No comments,4,24-Jun-13,,,,0,
4,31,21-Oct-11,23-Oct-14,Up-Con,0490524,6139684,5,21-Oct-13,LN/GC,N/A,N/A,N/A,N/A,125,Y,,No identifiable tracks but shows use,Heavily used trail,4,21-Oct-13,,,,0,
5,614,22-Oct-11,24-Oct-14,Up-Dec,0528066,6140744,1,24-Jan-12,JDE/LNO,27.0,22.0,2,2,94/95,N,N,SNHA,"Fire Regeneration Aw stand, limited tracks barely visible no deer tracks in area ",5,24-Jan-12,,,,0,
5,614,22-Oct-11,24-Oct-14,Up-Dec,0528066,6140744,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,222/223,N,N,Fresh deer tracks and scat,No comments,5,19-Jun-12,,,,0,
5,614,22-Oct-11,24-Oct-14,Up-Dec,0528066,6140744,3,16-Oct-12,LN/KT,N/A,N/A,N/A,N/A,281,Y,N,,Deer scat on the way to site,5,16-Oct-12,,,,0,
5,614,22-Oct-11,24-Oct-14,Up-Dec,0528066,6140744,4,26-Jun-13,LN/LR,N/A,N/A,N/A,N/A,181,N,,Fresh deer tracks on upper trail,No comments,5,26-Jun-13,,,,0,
5,614,22-Oct-11,24-Oct-14,Up-Dec,0528066,6140744,5,22-Oct-13,LN/GC,N/A,N/A,N/A,N/A,183,Y,N,Little sign of activity,Deer tracks on road,5,22-Oct-13,,,,0,
6,590,22-Oct-11,24-Oct-14,Up-Con,0526350,6138402,1,24-Jan-12,JDE/LNO,18.0,21.0,3,3,96,N,N,UNDE/COYO/SNHA,"Along creek Pj stand, battery on drill died, less SNHA activity here, no confirmed deer tracks around",6,24-Jan-12,,,,0,
6,590,22-Oct-11,24-Oct-14,Up-Con,0526350,6138402,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,225/226,N,N,,New 3D seismic in area,6,19-Jun-12,,,,0,
6,590,22-Oct-11,24-Oct-14,Up-Con,0526350,6138402,3,16-Oct-12,LN/KT,N/A,N/A,N/A,N/A,215,Y,N,N/A,Camera still takes photos of seismic line,6,16-Oct-12,,,,0,
6,590,22-Oct-11,24-Oct-14,Up-Con,0526350,6138402,4,26-Jun-13,LN/LR,N/A,N/A,N/A,N/A,162,N,,,No comments,6,26-Jun-13,,,,0,
6,590,22-Oct-11,24-Oct-14,Up-Con,0526350,6138402,5,22-Oct-13,LN/GC,N/A,N/A,N/A,N/A,128,N,N,No very much sign of activity,No comments,6,22-Oct-13,,,,0,
7,573,22-Oct-11,24-Oct-14,Up-Con,0525611,6135595,1,24-Jan-12,JDE/LNO,20.0,19.0,2,2,97,N,N,LYNX/SNHA/RESQ,"Blueberry hill Pj fire shitty site, lots of lynx and bunny in open area",7,24-Jan-12,,,,0,
7,573,22-Oct-11,24-Oct-14,Up-Con,0525611,6135595,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,227/228,N,N,,"New 3D seismic in area, cleared path to camera",7,19-Jun-12,,,,0,
7,573,22-Oct-11,24-Oct-14,Up-Con,0525611,6135595,3,16-Oct-12,LN/KT,N/A,N/A,N/A,N/A,99/100,Y,N,N/A,"Opened up trail a bit more, cut down some small trees between trail and seismic line, very little wildlife activity",7,16-Oct-12,,,,0,
7,573,22-Oct-11,24-Oct-14,Up-Con,0525611,6135595,4,26-Jun-13,LN/LR,N/A,N/A,N/A,N/A,189,N,,Old moose scat on trail nearby,No comments,7,26-Jun-13,,,,0,
7,573,22-Oct-11,24-Oct-14,Up-Con,0525611,6135595,5,22-Oct-13,LN/GC,N/A,N/A,N/A,N/A,64,Y,N,No tracks,No comments,7,22-Oct-13,,,,0,
8,488,22-Oct-11,24-Oct-14,Lo-Con,0520901,6134190,1,24-Jan-12,JDE/LNO,9.0,17.0,3,2,99,N,N,UNDE,"RTL road on edge of big pipeline, camera by large pipeline, unknown woodpecker heard , trail heavy deer and weasel around",8,24-Jan-12,,,,0,
8,488,22-Oct-11,24-Oct-14,Lo-Con,0520901,6134190,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,233/234,N,N,,No comments,8,19-Jun-12,,,,0,
8,488,22-Oct-11,24-Oct-14,Lo-Con,0520901,6134190,3,16-Oct-12,LN/KT,N/A,N/A,N/A,N/A,250,Y,N,N/A,Cleared area again of tall LEDUGRO and some trees,8,16-Oct-12,,,,0,
8,488,22-Oct-11,24-Oct-14,Lo-Con,0520901,6134190,4,26-Jun-13,LN/LR,N/A,N/A,N/A,N/A,687,N,,,No comments,8,26-Jun-13,,,,0,
8,488,22-Oct-11,24-Oct-14,Lo-Con,0520901,6134190,5,22-Oct-13,LN/GC,N/A,N/A,N/A,N/A,76,Y,N,No identifiable tracks but shows light use,No comments,8,22-Oct-13,,,,0,
,,,24-Oct-14,,,,,,,,,,,,,,,,8,24-Oct-14,Temporary Failure,17-Mar-14,24-Oct-14,221,
9,415,22-Oct-11,24-Oct-14,Lo-Con,0516274,6137938,1,24-Jan-12,JDE/LNO,13.0,17.0,3,2,100,N,N,SNHA/FISHER,"On edge of sand river by big clearing, deer in area",9,24-Jan-12,,,,0,
9,415,22-Oct-11,24-Oct-14,Lo-Con,0516274,6137938,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,235/236,N,N,N/A,"Fresh hand cut seismic by camera since last check, recommend moving camera",9,19-Jun-12,,,,0,
9,415,22-Oct-11,24-Oct-14,Lo-Con,0516274,6137938,3,16-Oct-12,LN/KT,N/A,N/A,N/A,N/A,203,Y,N,N/A,Heavy bridge construction 100m away some deer sign in area,9,16-Oct-12,,,,0,
9,415,22-Oct-11,24-Oct-14,Lo-Con,0516274,6137938,4,26-Jun-13,LN/LR,N/A,N/A,N/A,N/A,647,N,,,"Fresh seeded clover patch nearby, lots of deer scat on trails",9,26-Jun-13,,,,0,
9,415,22-Oct-11,24-Oct-14,Lo-Con,0516274,6137938,5,22-Oct-13,LN/GC,N/A,N/A,N/A,N/A,163,Y,N,Good use found wide shed 100m away lots of deer sign,New camp 200m away,9,22-Oct-13,,,,0,
10,417,23-Oct-11,24-Oct-14,Lo-Mix,0516320,6139744,1,24-Jan-12,JDE/LNO,7.0,17.0,4,3,101,N,N,SNHA,"New seismic 5m from camera, area now riddled with brand new seismic,  well used trail",10,24-Jan-12,,,,0,
10,417,23-Oct-11,24-Oct-14,Lo-Mix,0516320,6139744,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,240/241,N,N,N/A,"Cleared path around camera, possible seismic crew since last check",10,19-Jun-12,,,,0,
10,417,23-Oct-11,24-Oct-14,Lo-Mix,0516320,6139744,3,16-Oct-12,LN/KT,N/A,N/A,N/A,N/A,512,Y,N,N/A,Deer scat on seismic lines,10,16-Oct-12,,,,0,
10,417,23-Oct-11,24-Oct-14,Lo-Mix,0516320,6139744,4,26-Jun-13,LN/LR,N/A,N/A,N/A,N/A,709,N,,,Lots of deer and moose tracks on 3D seismec,10,26-Jun-13,,,,0,
10,417,23-Oct-11,24-Oct-14,Lo-Mix,0516320,6139744,5,22-Oct-13,LN/GC,N/A,N/A,N/A,N/A,142,Y,N,Very little deer sign but trails show use,No comments,10,22-Oct-13,,,,0,
11,419,23-Oct-11,N/A Stolen,Up-Mix,0516164,6141187,1,24-Jan-12,JDE/LNO,N/A,N/A,N/A,N/A,102/103,,,,"By elkow creek on hill 3D seismec, original site 11 was destroyed by logging, grid logged and unaccesabile RIP 11/419, site is now #61",11,24-Jan-12,Moved Site,,,0,
12,530,23-Oct-11,24-Oct-14,Up-Con,0522585,6144598,1,24-Jan-12,JDE/LNO,23.0,28.0,2,2,104,N,N,SNHA/COYO/UNDE,Classification for this grid is wrong this is not an upland coniferous site it is a fire region Aw stand,12,24-Jan-12,,,,0,
12,530,23-Oct-11,24-Oct-14,Up-Con,0522585,6144598,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,244/245,N,N,N/A,No comments,12,19-Jun-12,,,,0,
12,530,23-Oct-11,24-Oct-14,Up-Con,0522585,6144598,3,16-Oct-12,LN/KT,N/A,N/A,N/A,N/A,655,Y,N,N/A,No comments,12,16-Oct-12,,,,0,
12,530,23-Oct-11,24-Oct-14,Up-Con,0522585,6144598,4,26-Jun-13,LN/LR,N/A,N/A,N/A,N/A,923,N,,,Fresh bear and deer tracks on pipeline nearby,12,26-Jun-13,,,,0,
12,530,23-Oct-11,24-Oct-14,Up-Con,0522585,6144598,5,22-Oct-13,LN/GC,N/A,N/A,N/A,N/A,617,Y,N,Well used trail ruffled grouse 50m away,No comments,12,22-Oct-13,,,,0,
,,,24-Oct-14,,,,,,,,,,,,,,,,12,24-Oct-14,Temporary Failure,16-Nov-13,24-Oct-14,342,
13,385,23-Oct-11,24-Oct-14,Up-Dec,0515053,6143649,1,24-Jan-12,JDE/LNO,22.0,27.0,3,2,105,N,N,UNDE/SNHA,"Long walk on big tree not in grid, lots of deer signs, beds, scat, urine",13,24-Jan-12,,,,0,
13,385,23-Oct-11,24-Oct-14,Up-Dec,0515053,6143649,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,247/248,N,N,N/A,No comments,13,19-Jun-12,,,,0,
13,385,23-Oct-11,24-Oct-14,Up-Dec,0515053,6143649,3,16-Oct-12,LN/KT,N/A,N/A,N/A,N/A,523,Y,N,N/A,No comments,13,16-Oct-12,,,,0,
13,385,23-Oct-11,24-Oct-14,Up-Dec,0515053,6143649,4,26-Jun-13,LN/LR,N/A,N/A,N/A,N/A,1523,N,,,Some deer scat on trail,13,26-Jun-13,,,,0,
13,385,23-Oct-11,24-Oct-14,Up-Dec,0515053,6143649,5,22-Oct-13,LN/GC,N/A,N/A,N/A,N/A,,Y,N,Fresh one day old deer pellets in front of camera,No comments,13,22-Oct-13,,,,0,
14,356,23-Oct-11,24-Oct-14,Lo-Con,0511668,6146715,1,24-Jan-12,JDE/LNO,21.0,30.0,2,4,106,N,N,SNHA/UNDE/COYO??,Deer head site,14,24-Jan-12,,,,0,
14,356,23-Oct-11,24-Oct-14,Lo-Con,0511668,6146715,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,249/250,N,N,N/A,No comments,14,19-Jun-12,,,,0,
14,356,23-Oct-11,24-Oct-14,Lo-Con,0511668,6146715,3,16-Oct-12,LN/KT,N/A,N/A,N/A,N/A,438,Y,N,N/A,Bear scat on trail fork old deer scat on trail,14,16-Oct-12,,,,0,
14,356,23-Oct-11,24-Oct-14,Lo-Con,0511668,6146715,4,26-Jun-13,LN/LR,N/A,N/A,N/A,N/A,N/A,Y,,,Camera malfunction replaced with new camera (133 pics),14,26-Jun-13,Temporary Failure,27-Jan-13,26-Jun-13,150,
14,356,23-Oct-11,24-Oct-14,Lo-Con,0511668,6146715,5,25-Oct-13,LN/NV,N/A,N/A,N/A,N/A,205,Y,N,Many deer tracks on trail heavily used,No comments,14,25-Oct-13,,,,0,
15,303,23-Oct-11,24-Oct-14,Up-Mix,0508729,6147166,1,24-Jan-12,JDE/LNO,22.0,23.0,2,2,107,N,N,SNHA,"McMann bear bait, lots of bunnies",15,24-Jan-12,,,,0,
15,303,23-Oct-11,24-Oct-14,Up-Mix,0508729,6147166,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,251/252,N,N,N/A,No comments,15,19-Jun-12,,,,0,
15,303,23-Oct-11,24-Oct-14,Up-Mix,0508729,6147166,3,16-Oct-12,LN/KT,N/A,N/A,N/A,N/A,235,Y,N,N/A,No comments,15,16-Oct-12,,,,0,
15,303,23-Oct-11,24-Oct-14,Up-Mix,0508729,6147166,4,26-Jun-13,LN/LR,N/A,N/A,N/A,N/A,126,N,,Old deer scat on trail,"Camera CN04 on cutline nearby, January 27 malfunction",15,26-Jun-13,,,,0,
15,303,23-Oct-11,24-Oct-14,Up-Mix,0508729,6147166,5,25-Oct-13,LN/NV,N/A,N/A,N/A,N/A,311,,,Fresh and old deer scat on trail,"Cleared large spruce that fell in front of camera, cleared branches moved tree off trail",15,25-Oct-13,,,,0,
16,260,24-Oct-11,24-Oct-14,Lo-Con,0506845,6154177,1,27-Jan-12,JDE/LNO,8.0,16.0,4,3,175/176,N,N,SNHA/COYO?,"Along river parking spot, 4 grey jays came to visit,  Seismic line has gone in close by lots of footprints 15-20m ",16,27-Jan-12,,,,0,
16,260,24-Oct-11,24-Oct-14,Lo-Con,0506845,6154177,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,257/258,N,N,N/A,No comments,16,19-Jun-12,,,,0,
16,260,24-Oct-11,24-Oct-14,Lo-Con,0506845,6154177,3,16-Oct-12,LN/KT,N/A,N/A,N/A,N/A,235,Y,N,N/A,Cleared away some branches blocking trail deer scat on trail,16,16-Oct-12,,,,0,
16,260,24-Oct-11,24-Oct-14,Lo-Con,0506845,6154177,4,26-Jun-13,LN/LR,N/A,N/A,N/A,N/A,285,N,,,No fresh action,16,26-Jun-13,,,,0,
16,260,24-Oct-11,24-Oct-14,Lo-Con,0506845,6154177,5,25-Oct-13,LN/NV,N/A,N/A,N/A,N/A,165,Y,N,Old deer scat on trail approx 3m from camera,No comments,16,25-Oct-13,,,,0,
,,,24-Oct-14,,,,,,,,,,,,,,,,16,24-Oct-14,Temporary Failure,15-Jan-14,13-Apr-14,88,
17,262,24-Oct-11,24-Oct-14,Up-Mix,0506718,6156256,1,27-Jan-12,JDE/LNO,4.0,7.0,3,3,177,N,N,SNHA/UNDE,"On edge of bog by big plant, snow hardness is compacted, seismic in area may decrease value of trail ",17,27-Jan-12,,,,0,
17,262,24-Oct-11,24-Oct-14,Up-Mix,0506718,6156256,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,259/260,N,N,N/A,Fresh deer scat,17,19-Jun-12,,,,0,
17,262,24-Oct-11,24-Oct-14,Up-Mix,0506718,6156256,3,09-Nov-12,LN/KT,4.0,5.0-7.0,3,3,806,Y,N,RESQ,Deer tracks and scat,17,09-Nov-12,,,,0,
17,262,24-Oct-11,24-Oct-14,Up-Mix,0506718,6156256,4,26-Jun-13,LN/LR,N/A,N/A,N/A,N/A,577,N,,,No fresh sign visible in rain,17,26-Jun-13,,,,0,
17,262,24-Oct-11,24-Oct-14,Up-Mix,0506718,6156256,5,25-Oct-13,LN/NV,N/A,N/A,N/A,N/A,468,Y,N,Deer scat on trail 5m from camera,Trail appears to be in use although not heavily,17,25-Oct-13,,,,0,
18,225,23-Oct-11,9-Nov-12,Lo-Mix,0504682,6157422,1,27-Jan-12,JDE/LNO,17.0,27.0,3,2,178,N,N,UNDE,"Good deer site across from camp camera location not ideal, deer in area, limited deer passed by camera lovely aspen stand",18,27-Jan-12,,,,0,
18,225,23-Oct-11,9-Nov-12,Lo-Mix,0504682,6157422,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,265/266,N,N,N/A,Recommend moving camera about 30m,18,19-Jun-12,,,,0,
18,225,23-Oct-11,9-Nov-12,Lo-Mix,0504682,6157422,3,09-Nov-12,LN/KT,12.0,13.0,2,2,700,Y,Y,RESQ,Camera avoidance camera getting moved approx.50m site becomes 18A,18,09-Nov-12,,,,0,
18A,225,09-Nov-12,24-Oct-14,Lo-Mix,0504738,6157417,4,25-Oct-13,LN/NV,N/A,N/A,N/A,N/A,1135,Y,N,"Buck scrapes on trail, with fresh deer scat","Well used trail, several buck scrapes on trail two within 10m of camera",18A,25-Oct-13,,,,0,
,,,,,,,,,,,,,,,,,,,18A,24-Oct-14,Temporary Failure,25-Oct-13,2-Mar-14,128,
19,211,24-Oct-11,24-Oct-14,Lo-Con,0503532,6155872,1,27-Jan-12,JDE/LNO,15.0,16.0,4,2,174,N,N,SNHA,Compacted trail other activity on trail fisher around camera ,19,27-Jan-12,,,,0,
19,211,24-Oct-11,24-Oct-14,Lo-Con,0503532,6155872,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,263/264,N,N,N/A,No comments,19,19-Jun-12,,,,0,
19,211,24-Oct-11,24-Oct-14,Lo-Con,0503532,6155872,3,09-Nov-12,LN/KT,13.0,15.0,2,2,300,Y,N,SNSH,"Small tree fell across trail cleared it up, old deer tracks",19,09-Nov-12,,,,0,
19,211,24-Oct-11,24-Oct-14,Lo-Con,0503532,6155872,4,26-Jun-13,LN/LR,N/A,N/A,N/A,N/A,61,N,,,Labelled images as DART 3,19,26-Jun-13,,,,0,
19,211,24-Oct-11,24-Oct-14,Lo-Con,0503532,6155872,5,24-Oct-13,LN/NV,N/A,N/A,N/A,N/A,162,Y,N,No tracks/scat on trail,Fresh deer scat approx 35m from camera,19,24-Oct-13,,,,0,
20,128,24-Oct-11,23-Oct-14,Up-Con,0495781,6156384,1,27-Jan-12,JDE/LNO,N/A,28.0,N/A,2,173,N,N,SNHA,"Open pine site set on spruce possible deer tracks not a winter spot, no distinguishable trail ",20,27-Jan-12,,,,0,
20,128,24-Oct-11,23-Oct-14,Up-Con,0495781,6156384,2,18-Jun-12,LN/PL,N/A,N/A,N/A,N/A,216/217,N,N,N/A,No comments,20,18-Jun-12,,,,0,
20,128,24-Oct-11,23-Oct-14,Up-Con,0495781,6156384,3,19-Oct-12,LN/KT,N/A,N/A,N/A,N/A,412,Y,N,N/A,Coyote scat and deer tracks,20,19-Oct-12,,,,0,
20,128,24-Oct-11,23-Oct-14,Up-Con,0495781,6156384,4,24-Jun-13,LN/LR,N/A,N/A,N/A,N/A,121,N,,No tracks hard soil,Camera said low battery but has 99% battery,20,24-Jun-13,,,,0,
20,128,24-Oct-11,23-Oct-14,Up-Con,0495781,6156384,5,21-Oct-13,LN/GC,N/A,N/A,N/A,N/A,126,Y,N,"Coyote, bear and wolf scat on trail 50m East",No comments,20,21-Oct-13,,,,0,
21,63,24-Oct-11,23-Oct-14,Up-Mix,0492430,6163470,1,26-Jan-12,JDE/LNO,2.0,12.0,5,4,172,N,N,SNHA/WOLF,Train track no picture maybe a lynx around trail is heavily used ,21,26-Jan-12,,,,0,
21,63,24-Oct-11,23-Oct-14,Up-Mix,0492430,6163470,2,18-Jun-12,LN/PL,N/A,N/A,N/A,N/A,218/219,N,N,N/A,Wolf scat on trail 10m from camera,21,18-Jun-12,,,,0,
21,63,24-Oct-11,23-Oct-14,Up-Mix,0492430,6163470,3,19-Oct-12,LN/KT,N/A,N/A,N/A,N/A,535,Y,N,N/A,Cleared away fallen tree on trail,21,19-Oct-12,,,,0,
