SiteNo,GridNo,DeployDate,CollectionDate,GridClassification,UTM Coordinates 12U,UTM Coordinates mE,Check No,Check Date,Crew,Snow Depth Trail (cm),SnowDepthOffTrail (cm),SnowHardnessTrail (1-6),SnowHardnessOffTrail (1-6),PictureNo.,BattsChangedY/N,CameraRefusealY/N,Track Transet,CameraSiteInfo/Comments (Tracks/Sign/Disturbance/Change),SiteNo,Check Date,"PROBLEMS (DELETED SITE, MOVED SITE, TEMPORARY FAILURE)",KNOWN PERIOD OF MISSING DATA - START,KNOWN PERIOD OF MISSING DATA - END,TOTAL DAYS,
21,63,24-Oct-11,23-Oct-14,Up-Mix,0492430,6163470,4,24-Jun-13,LN/LR,N/A,N/A,N/A,N/A,373,N,,,"Tree broke camera facing into dirt no longer any good, put on new tree",21,24-Jun-13,Temporary Failure,05-May-13,24-Jun-13,50,
21,63,24-Oct-11,23-Oct-14,Up-Mix,0492430,6163470,5,21-Oct-13,LN/GC,N/A,N/A,N/A,N/A,433,,,Good use but no tracks identifiable on trail substrate moss,No comments,21,21-Oct-13,,,,0,
22,13,25-Oct-11,26-Oct-14,Lo-Con,0486222,6135687,1,28-Jan-12,JDE/LNO,19.0,23.0,2,2,187,N,N,SNHA,"Bad site cutline moved lots of downed wood, limited wildlife activity in area",22,28-Jan-12,,,,0,
22,13,25-Oct-11,26-Oct-14,Lo-Con,0486222,6135687,2,18-Jun-12,LN/PL,N/A,N/A,N/A,N/A,212,N,N,N/A,No comments,22,18-Jun-12,,,,0,
22,13,25-Oct-11,26-Oct-14,Lo-Con,0486222,6135687,3,15-Oct-12,LN/KT,N/A,N/A,N/A,N/A,312,Y,N,N/A,Moved camera down on tree approximately 20cm,22,15-Oct-12,,,,0,
22,13,25-Oct-11,26-Oct-14,Lo-Con,0486222,6135687,4,24-Jun-13,LN/LR,N/A,N/A,N/A,N/A,107,Y,,N/A,Little activity,22,24-Jun-13,,,,0,
22,13,25-Oct-11,26-Oct-14,Lo-Con,0486222,6135687,5,25-Oct-13,LN/NV,N/A,N/A,N/A,N/A,89,Y,N,No distinct tracks or scat on trail,Not a very distinct trail,22,25-Oct-13,,,,0,
23,18,25-Oct-11,26-Oct-14,Up-Con,0487296,6140431,1,28-Jan-12,JDE/LNO,29.0,27.0,1,1,188,N,N,SNHA,"Good site by old bear bait, large tracks around camera, possibly wolves no crust on snow ",23,28-Jan-12,,,,0,
23,18,25-Oct-11,26-Oct-14,Up-Con,0487296,6140431,2,18-Jun-12,LN/PL,N/A,N/A,N/A,N/A,216,N,N,N/A,No comments,23,18-Jun-12,,,,0,
23,18,25-Oct-11,26-Oct-14,Up-Con,0487296,6140431,3,15-Oct-12,LN/KT,N/A,N/A,N/A,N/A,1494,Y,N,N/A,No comments,23,15-Oct-12,,,,0,
23,18,25-Oct-11,26-Oct-14,Up-Con,0487296,6140431,4,24-Jun-13,LN/LR,N/A,N/A,N/A,N/A,70,N,,N/A,Camera malfunction?,23,24-Jun-13,Temporary Failure,06-Nov-12,24-Jun-13,230,
23,18,25-Oct-11,26-Oct-14,Up-Con,0487296,6140431,5,25-Oct-13,LN/NV,N/A,N/A,N/A,N/A,998,Y,N,Fairly well used trail (new location) use might change with new road,Large road pipeline approx 10m from camera batteries dead moved camera to a new location (1240487366) (6140516) 697m elevation ,23,25-Oct-13,Temporary Failure,22-Sep-13,25-Oct-13,33,
24,27,25-Oct-11,23-Oct-14,Up-Con,0489227,6141578,1,28-Jan-12,JDE/LNO,22.0,26.0,2,2,189,N,N,SNHA,"By trapper cabin bear sighting, other tracks around unknown, snow trail is barely a 2 thinest crust measure of 1-2 ",24,28-Jan-12,,,,0,
24,27,25-Oct-11,23-Oct-14,Up-Con,0489227,6141578,2,18-Jun-12,LN/PL,N/A,N/A,N/A,N/A,214/215,N,N,N/A,Deer tracks off the road,24,18-Jun-12,,,,0,
24,27,25-Oct-11,23-Oct-14,Up-Con,0489227,6141578,3,15-Oct-12,LN/KT,N/A,N/A,N/A,N/A,460,Y,N,N/A,Lots of fresh deer scat and tracks on the way to site,24,15-Oct-12,,,,0,
24,27,25-Oct-11,23-Oct-14,Up-Con,0489227,6141578,4,24-Jun-13,LN/LR,N/A,N/A,N/A,N/A,246,N,,N/A,No comments,24,24-Jun-13,,,,0,
24,27,25-Oct-11,23-Oct-14,Up-Con,0489227,6141578,5,21-Oct-13,LN/GC,N/A,N/A,N/A,N/A,360,Y,N,No tracks some scuffing,Land surveyor stakes nearby which may indicate new disposition in vicinity,24,21-Oct-13,,,,0,
,,,23-Oct-14,,,,,,,,,,,,,,,,24,23-Oct-14,Temporary Failure,15-Nov-13,23-Oct-14,342,
25,189,25-Oct-11,23-Oct-14,Lo-Con,0501277,6133821,1,27-Jan-12,JDE/LNO,7.0,25.0,3,2,180,N,N,SNHA,"Compacted trail cutline seismic now running in front of the camera 5-6m, camera may need to be moved in spring ",25,27-Jan-12,,,,0,
25,189,25-Oct-11,23-Oct-14,Lo-Con,0501277,6133821,2,18-Jun-12,LN/PL,N/A,N/A,N/A,N/A,208/209,N,N,N/A,Deer scat on trail 25m from camera,25,18-Jun-12,,,,0,
25,189,25-Oct-11,23-Oct-14,Lo-Con,0501277,6133821,3,15-Oct-12,LN/KT,N/A,N/A,N/A,N/A,232,Y,N,N/A,No comments,25,15-Oct-12,,,,0,
25,189,25-Oct-11,23-Oct-14,Lo-Con,0501277,6133821,4,24-Jun-13,LN/LR,N/A,N/A,N/A,N/A,257,N,,N/A,Deer tracks on cutline,25,24-Jun-13,,,,0,
25,189,25-Oct-11,23-Oct-14,Lo-Con,0501277,6133821,5,21-Oct-13,LN/GC,N/A,N/A,N/A,N/A,162,Y,N,No tracks or sign wolf and coyote tracks in ditch beside truck 400m away,Deer tracks on cutline,25,21-Oct-13,,,,0,
26,51,25-Oct-11,23-Oct-14,Lo-Con,0491362,6167822,1,28-Jan-12,JDE/LNO,18.0,20.0,3,3,194,N,N,SNHA/FISHER,By big plant on Pj tree weasel tracks in area by road last site of this checking ,26,28-Jan-12,,,,0,
26,51,25-Oct-11,23-Oct-14,Lo-Con,0491362,6167822,2,18-Jun-12,LN/PL,N/A,N/A,N/A,N/A,220/221,N,N,N/A,No comments,26,18-Jun-12,,,,0,
26,51,25-Oct-11,23-Oct-14,Lo-Con,0491362,6167822,3,17-Oct-12,LN/KT,N/A,N/A,N/A,N/A,,Y,N,N/A,Lynx and coyote scat on trail along with old bear scat,26,17-Oct-12,,,,0,
26,51,25-Oct-11,23-Oct-14,Lo-Con,0491362,6167822,4,24-Jun-13,LN/LR,N/A,N/A,N/A,N/A,497,N,,Fresh deer tracks and scat on nearby trail,No comments,26,24-Jun-13,,,,0,
26,51,25-Oct-11,23-Oct-14,Lo-Con,0491362,6167822,5,24-Oct-13,LN/NV,N/A,N/A,N/A,N/A,370,Y,N,Old deer scat on trail in front of camera,"Didn’t change silica tabs, well used trail",26,24-Oct-13,,,,0,
27,96,25-Oct-11,23-Oct-14,Up-Mix,0493112,6172291,1,27-Jan-12,JDE/LNO,17.0,20.0,3,3,171,N,N,FOX/SNHA,"Buck rub and scrape on edge of Pj/Sb, signs of animals in area ",27,27-Jan-12,,,,0,
27,96,25-Oct-11,23-Oct-14,Up-Mix,0493112,6172291,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,347/348,N,N,N/A,No comments,27,20-Jun-12,,,,0,
27,96,25-Oct-11,23-Oct-14,Up-Mix,0493112,6172291,3,17-Oct-12,LN/KT,N/A,N/A,N/A,N/A,655,Y,N,N/A,Old lynx and coyote scat on trail,27,17-Oct-12,,,,0,
27,96,25-Oct-11,23-Oct-14,Up-Mix,0493112,6172291,4,24-Jun-13,LN/LR,N/A,N/A,N/A,N/A,153,N,,N/A,Old scrape but little activity,27,24-Jun-13,,,,0,
27,96,25-Oct-11,23-Oct-14,Up-Mix,0493112,6172291,5,21-Oct-13,LN/GC,N/A,N/A,N/A,N/A,317,,,Deer and fox or fisher scat on trail,No comments,27,21-Oct-13,,,,0,
28,121,25-Oct-11,21-Oct-13,Up-Mix,0494411,6169861,1,27-Jan-12,JDE/LNO,7.0,12.0,4,4,170,N,N,SNHA/COYO/RESQ,"On edge of highway in saddle 3D seismic, trail is in use icy snow hardest yet",28,27-Jan-12,,,,0,
28,121,25-Oct-11,21-Oct-13,Up-Mix,0494411,6169861,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,271/272,N,N,N/A,No comments,28,19-Jun-12,,,,0,
28,121,25-Oct-11,21-Oct-13,Up-Mix,0494411,6169861,3,17-Oct-12,LN/KT,N/A,N/A,N/A,N/A,273,Y,N,N/A,"Two new big trees fallen across trail, less wildlife activity",28,17-Oct-12,,,,0,
28,121,25-Oct-11,21-Oct-13,Up-Mix,0494411,6169861,4,24-Jun-13,LN/LR,N/A,N/A,N/A,N/A,612,N,,Deer tracks fresh on trail,No comments,28,24-Jun-13,,,,0,
28,121,25-Oct-11,21-Oct-13,Up-Mix,0494411,6169861,5,21-Oct-13,LN/GC,N/A,N/A,N/A,N/A,,,,,Lost camera alpac logging left card on fallen equipment with note to call me Grant,28,21-Oct-13,Moved Site,05-Oct-13,21-Oct-13,16,
29,142,25-Oct-11,23-Oct-14,Lo-Mix,0496078,6168661,1,27-Jan-12,JDE/LNO,9.0,14.0,4,3,168,N,N,SNHA,"Long trail seismic, trail is being used and super compacted, 2 crusts bottom crust is harder ",29,27-Jan-12,,,,0,
29,142,25-Oct-11,23-Oct-14,Lo-Mix,0496078,6168661,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,269/270,N,N,N/A,No comments,29,19-Jun-12,,,,0,
29,142,25-Oct-11,23-Oct-14,Lo-Mix,0496078,6168661,3,17-Oct-12,LN/KT,N/A,N/A,N/A,N/A,783,Y,N,N/A,No comments,29,17-Oct-12,,,,0,
29,142,25-Oct-11,23-Oct-14,Lo-Mix,0496078,6168661,4,24-Jun-13,LN/LR,N/A,N/A,N/A,N/A,568,N,,Deer scat on trail,No comments,29,24-Jun-13,,,,0,
29,142,25-Oct-11,23-Oct-14,Lo-Mix,0496078,6168661,5,21-Oct-13,LN/GC,N/A,N/A,N/A,N/A,169,Y,Y,,Black bear and truck tracks,29,21-Oct-13,,,,0,
30,156,27-Oct-11,24-Oct-14,Up-Mix,0497856,6176433,1,27-Jan-12,JDE/LNO,29.0,29.0,2,2,167,N,N,SNHA,"Long walk, deer tracks in area ",30,27-Jan-12,,,,0,
30,156,27-Oct-11,24-Oct-14,Up-Mix,0497856,6176433,2,21-Jun-12,LN/PL,N/A,N/A,N/A,N/A,366/367,N,N,N/A,Cleared trail,30,21-Jun-12,,,,0,
30,156,27-Oct-11,24-Oct-14,Up-Mix,0497856,6176433,3,17-Oct-12,LN/KT,N/A,N/A,N/A,N/A,1200,Y,N,N/A,No comments,30,17-Oct-12,,,,0,
30,156,27-Oct-11,24-Oct-14,Up-Mix,0497856,6176433,4,27-Jun-13,LN/LR,N/A,N/A,N/A,N/A,1053,N,,N/A,Fresh deer tracks on nearby pipeline,30,27-Jun-13,,,,0,
30,156,27-Oct-11,24-Oct-14,Up-Mix,0497856,6176433,5,24-Oct-13,LN/NV,N/A,N/A,N/A,N/A,541,Y,N,No scat or tracks on trail,Trails appear well used,30,24-Oct-13,,,,0,
31,188,27-Oct-11,24-Oct-14,Up-Dec,0500039,6176084,1,26-Jan-12,JDE/LNO,15.0,25.0,4,2,166,N,N,SNHA/RESQ,Thick regen by collar deployment on pipeline poor site lots of images may be better than anticipated compacted snow trail ,31,26-Jan-12,,,,0,
31,188,27-Oct-11,24-Oct-14,Up-Dec,0500039,6176084,2,21-Jun-12,LN/PL,N/A,N/A,N/A,N/A,364/365,N,N,N/A,No comments,31,21-Jun-12,,,,0,
31,188,27-Oct-11,24-Oct-14,Up-Dec,0500039,6176084,3,17-Oct-12,LN/KT,N/A,N/A,N/A,N/A,306,Y,N,N/A,No comments,31,17-Oct-12,,,,0,
31,188,27-Oct-11,24-Oct-14,Up-Dec,0500039,6176084,4,27-Jun-13,LN/LR,N/A,N/A,N/A,N/A,350,N,,N/A,Strawberries ripe on pipeline,31,27-Jun-13,,,,0,
31,188,27-Oct-11,24-Oct-14,Up-Dec,0500039,6176084,5,24-Oct-13,LN/NV,N/A,N/A,N/A,N/A,220,Y,N,No scat or tracks but trail is well used,No comments,31,24-Oct-13,,,,0,
32,570,26-Oct-11,25-Oct-14,Up-Con,0524862,6174459,1,26-Jan-12,JDE/LNO,33.0,37.0,2,2,144,N,N,SNHA/RESQ,On edge of cutblock ,32,26-Jan-12,,,,0,
32,570,26-Oct-11,25-Oct-14,Up-Con,0524862,6174459,2,21-Jun-12,LN/PL,N/A,N/A,N/A,N/A,349/350,N,N,N/A,Camera should be moved 30m up trail,32,21-Jun-12,,,,0,
32,570,26-Oct-11,25-Oct-14,Up-Con,0524862,6174459,3,17-Oct-12,LN/KT,N/A,N/A,N/A,N/A,458,Y,N,N/A,Lynx scat on trail and bear dig in front of camera on trail,32,17-Oct-12,,,,0,
32,570,26-Oct-11,25-Oct-14,Up-Con,0524862,6174459,4,27-Jun-13,LN/LR,N/A,N/A,N/A,N/A,367,N,,Fresh deer tracks in front of camera,No comments,32,27-Jun-13,,,,0,
32,570,26-Oct-11,25-Oct-14,Up-Con,0524862,6174459,5,22-Oct-13,LN/GC,N/A,N/A,N/A,N/A,400,Y,Y,Large unidentifiable hoof tracks,No comments,32,22-Oct-13,,,,0,
,,,25-Oct-14,,,,,,,,,,,,,,,,32,25-Oct-14,Temporary Failure,25-Sep-14,25-Oct-14,30,
33,540,26-Oct-11,26-Jan-12,Up-Con,0522567,6170795,1,26-Jan-12,JDE/LNO,N/A,36.0,N/A,2,156,N,N,NONE,"Bad trail on old line pictures 145-160 are of destruction around camera, purpose unknown, very recent trail not possible anymore site becomes #62",33,26-Jan-12,Moved Site,,,0,
34,440,26-Oct-11,17-Oct-12,Up-Mix,0517386,6164694,1,26-Jan-12,JDE/LNO,25.0,26.0,2,2,131,N,N,NONE,"On Pj ridge lots of cutting, bunny activity in area 132/133 Luke with camera ",34,26-Jan-12,,,,0,
34,440,26-Oct-11,17-Oct-12,Up-Mix,0517386,6164694,2,21-Jun-12,LN/PL,N/A,N/A,N/A,N/A,355/356,N,N,N/A,No comments,34,21-Jun-12,,,,0,
34,440,26-Oct-11,17-Oct-12,Up-Mix,0517386,6164694,3,17-Oct-12,LN/KT,N/A,N/A,N/A,N/A,908,N,N,N/A,"Pulled camera from site because new flagging tape is all over the place, some MEG project most of the pictures will be of people, flagging only 4m from camera site moved out of the grid going to be a holocaust area",34,17-Oct-12,Moved Site,,,0,
35,282,26-Oct-11,25-Oct-14,Lo-Mix,0507352,6170675,1,26-Jan-12,JDE/LNO,28.0,30.0,1,1,164,N,N,UNDE/RESQ,"Between two lakes, Luke does not like this site, snow rating called a 1 due to no crust would be willing to call it a 2 but not really new powder ",35,26-Jan-12,,,,0,
35,282,26-Oct-11,25-Oct-14,Lo-Mix,0507352,6170675,2,21-Jun-12,LN/PL,N/A,N/A,N/A,N/A,360/361,N,N,N/A,"Camera needs to be moved , bad location",35,21-Jun-12,,,,0,
35,282,26-Oct-11,25-Oct-14,Lo-Mix,0507352,6170675,3,17-Oct-12,LN/KT,N/A,N/A,N/A,N/A,254,Y,N,N/A,"Some bear signs on the way in, old bear dig beside trail, deer tracks on trail",35,17-Oct-12,,,,0,
35,282,26-Oct-11,25-Oct-14,Lo-Mix,0507352,6170675,4,27-Jun-13,LN/LR,N/A,N/A,N/A,N/A,301,N,,N/A,No fresh signs old deer tracks,35,27-Jun-13,,,,0,
35,282,26-Oct-11,25-Oct-14,Lo-Mix,0507352,6170675,5,22-Oct-13,LN/GC,N/A,N/A,N/A,N/A,57,Y,Y,Large hoof tracks likely moose,No comments,35,22-Oct-13,,,,0,
36,287,26-Oct-11,25-Oct-14,Lo-Mix,0507163,6175561,1,26-Jan-12,JDE/LNO,24.0,22.0,2,2,165,N,N,SNHA,Shed antler big spruce along creek,36,26-Jan-12,,,,0,
36,287,26-Oct-11,25-Oct-14,Lo-Mix,0507163,6175561,2,21-Jun-12,LN/PL,N/A,N/A,N/A,N/A,362/363,N,N,N/A,Deer scat,36,21-Jun-12,,,,0,
36,287,26-Oct-11,25-Oct-14,Lo-Mix,0507163,6175561,3,17-Oct-12,LN/KT,N/A,N/A,N/A,N/A,660,Y,N,N/A,Deer scat and tracks on trail,36,17-Oct-12,,,,0,
36,287,26-Oct-11,25-Oct-14,Lo-Mix,0507163,6175561,4,27-Jun-13,LN/LR,N/A,N/A,N/A,N/A,256,N,,N/A,Lots of blow down that has killed trail on both sides,36,27-Jun-13,,,,0,
36,287,26-Oct-11,25-Oct-14,Lo-Mix,0507163,6175561,5,22-Oct-13,LN/GC,N/A,N/A,N/A,N/A,425,Y,N,No identifiable tracks but trail shows recent use,No comments,36,22-Oct-13,,,,0,
37,267,27-Oct-11,25-Oct-14,Lo-Mix,0506391,6179454,1,26-Jan-12,JDE/LNO,25.0,26.0,2,2,142,N,N,SNHA,"On big spruce lots of branches by cutblock, red squirrel in area",37,26-Jan-12,,,,0,
37,267,27-Oct-11,25-Oct-14,Lo-Mix,0506391,6179454,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,343/344,N,N,N/A,No comments,37,20-Jun-12,,,,0,
37,267,27-Oct-11,25-Oct-14,Lo-Mix,0506391,6179454,3,17-Oct-12,LN/KT,N/A,N/A,N/A,N/A,480,Y,N,N/A,Bear activity in area digs and old bear scat,37,17-Oct-12,,,,0,
37,267,27-Oct-11,25-Oct-14,Lo-Mix,0506391,6179454,4,27-Jun-13,LN/LR,N/A,N/A,N/A,N/A,543,N,,N/A,Fresh deer tracks and scat on trail,37,27-Jun-13,,,,0,
37,267,27-Oct-11,25-Oct-14,Lo-Mix,0506391,6179454,5,24-Oct-13,LN/NV,N/A,N/A,N/A,N/A,154,Y,N,"Well used trail, but no obvious scat or tracks","Cleared blow down approx 10m down trail, coyote scat approx 60m down trail",37,24-Oct-13,,,,0,
38,322,27-Oct-11,25-Oct-14,Lo-Con,0508346,6182591,1,26-Jan-12,JDE/LNO,31.0,32.0,3,2,143,N,N,SNHA,"Good long trail three scats found during deployment, rabbit tracks",38,26-Jan-12,,,,0,
38,322,27-Oct-11,25-Oct-14,Lo-Con,0508346,6182591,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,341/342,N,N,N/A,No comments,38,20-Jun-12,,,,0,
38,322,27-Oct-11,25-Oct-14,Lo-Con,0508346,6182591,3,17-Oc-12,LN/KT,N/A,N/A,N/A,N/A,528,Y,N,N/A,No comments,38,17-Oc-12,,,,0,
38,322,27-Oct-11,25-Oct-14,Lo-Con,0508346,6182591,4,27-Jun-13,LN/LR,N/A,N/A,N/A,N/A,,Y,,N/A,"Camera dead replaced batteries, new batteries only produced low battery",38,27-Jun-13,Temporary Failure,09-Nov-12,27-Jun-13,230,
38,322,27-Oct-11,25-Oct-14,Lo-Con,0508346,6182591,5,24-Oct-13,LN/NV,N/A,N/A,N/A,N/A,95,Y,N,Trail is well used but no obvious scat or tracks on trail,No comments,38,24-Oct-13,,,,0,
39,327,27-Oct-11,25-Oct-14,Up-Dec,0508626,6187785,1,26-Jan-12,JDE/LNO,7.0,10.0,2,2,135,N,N,UNDE/SNHA/RESQ,Deer bedding under big Tom very little snow here due to large spruce trees,39,26-Jan-12,,,,0,
39,327,27-Oct-11,25-Oct-14,Up-Dec,0508626,6187785,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,330/331,N,N,N/A,No comments,39,20-Jun-12,,,,0,
39,327,27-Oct-11,25-Oct-14,Up-Dec,0508626,6187785,3,17-Oct-12,LN/KT,N/A,N/A,N/A,N/A,571,Y,N,N/A,30 or 80 pictures may be of us techs walking around,39,17-Oct-12,,,,0,
39,327,27-Oct-11,25-Oct-14,Up-Dec,0508626,6187785,4,27-Jun-13,LN/LR,N/A,N/A,N/A,N/A,762,N,,N/A,"Area very we 10"" of water",39,27-Jun-13,,,,0,
39,327,27-Oct-11,25-Oct-14,Up-Dec,0508626,6187785,5,24-Oct-13,LN/NV,N/A,N/A,N/A,N/A,95,Y,N,Old deer tracks on trail no other signs,Trail looks less used than previous visits,39,24-Oct-13,,,,0,
40,351,27-Oct-11,25-Oct-14,Up-Con,0510102,6189676,1,26-Jan-12,JDE/LNO,25.0,25.0,2,2,134,N,N,SNHA,"Bear hair, close to highway saw lynx, low pics ",40,26-Jan-12,,,,0,
40,351,27-Oct-11,25-Oct-14,Up-Con,0510102,6189676,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,328/329,N,N,N/A,No comments,40,20-Jun-12,,,,0,
40,351,27-Oct-11,25-Oct-14,Up-Con,0510102,6189676,3,17-Oct-12,LN/KT,N/A,N/A,N/A,N/A,189,Y,N,N/A,Old deer scat on trail,40,17-Oct-12,,,,0,
40,351,27-Oct-11,25-Oct-14,Up-Con,0510102,6189676,4,27-Jun-13,LN/LR,N/A,N/A,N/A,N/A,156,N,,N/A,Fresh bear tracks and old deer scat,40,27-Jun-13,,,,0,
40,351,27-Oct-11,25-Oct-14,Up-Con,0510102,6189676,5,24-Oct-13,LN/NV,N/A,N/A,N/A,N/A,104,N,N,Old scat on trail,"Trail looks well used close to noisy highway, camera still at 99%",40,24-Oct-13,,,,0,
41,347,28-Oct-11,25-Oct-14,Up-Mix,0510493,6185669,1,26-Jan-12,JDE/LNO,11.0,16.0,3,2,141,N,N,UNDE,"Near road, 1st site on Alpac road, large cut log deer milling about in area",41,26-Jan-12,,,,0,
41,347,28-Oct-11,25-Oct-14,Up-Mix,0510493,6185669,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,325/326,N,N,N/A,No comments,41,20-Jun-12,,,,0,
41,347,28-Oct-11,25-Oct-14,Up-Mix,0510493,6185669,3,17-Oct-12,LN/KT,N/A,N/A,N/A,N/A,386,Y,N,N/A,"Road construction no good parking, old deer scat on trail",41,17-Oct-12,,,,0,
41,347,28-Oct-11,25-Oct-14,Up-Mix,0510493,6185669,4,27-Jun-13,LN/LR,N/A,N/A,N/A,N/A,598,N,,N/A,Fresh deer tracks and scat,41,27-Jun-13,,,,0,
41,347,28-Oct-11,25-Oct-14,Up-Mix,0510493,6185669,5,24-Oct-13,LN/NV,N/A,N/A,N/A,N/A,417,Y,N,N/A,"Deer scat on trail, cleared trail of blow down",41,24-Oct-13,,,,0,
42,371,28-Oct-11,25-Oct-14,Up-Dec,0512711,6185846,1,26-Jan-12,JDE/LNO,16.0,23.0,3,2,140,N,N,UNDE,"Long walk, camera bad angle by a couple of lone spruce trees, compacted snow trail, 3000 images, animals bedding around camera, lots of activity, moved camera.  See notes on back of raw data sheet",42,26-Jan-12,,,,0,
42,371,28-Oct-11,25-Oct-14,Up-Dec,0512711,6185846,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,322/323,N,N,N/A,No comments,42,20-Jun-12,,,,0,
42,371,28-Oct-11,25-Oct-14,Up-Dec,0512711,6185846,3,17-Oct-12,LN/KT,N/A,N/A,N/A,N/A,1500,Y,N,N/A,"Lots of deer sign, rubs on small aspen, fresh deer scrapes on trail, fisher scat in middle of deer scrape",42,17-Oct-12,,,,0,
42,371,28-Oct-11,25-Oct-14,Up-Dec,0512711,6185846,4,27-Jun-13,LN/LR,N/A,N/A,N/A,N/A,2210,N,,N/A,Old deer rub on trail,42,27-Jun-13,,,,0,
42,371,28-Oct-11,25-Oct-14,Up-Dec,0512711,6185846,5,24-Oct-13,LN/NV,N/A,N/A,N/A,N/A,941,Y,N,No obvious scat or tracks but trail appears used,No comments,42,24-Oct-13,,,,0,
43,411,28-Oct-11,25-Oct-14,Up-Dec,0515013,6185432,1,26-Jan-12,JDE/LNO,23.0,26.0,3,2,139,N,Y,UNDE/SNHA,"By big buck rub on edge of Sb stand, deer may be avoiding, snow hardness trail is only 3 because its compressed",43,26-Jan-12,,,,0,
