SiteNo,GridNo,DeployDate,CollectionDate,GridClassification,UTM Coordinates 12U,UTM Coordinates mE,Check No,Check Date,Crew,Snow Depth Trail (cm),SnowDepthOffTrail (cm),SnowHardnessTrail (1-6),SnowHardnessOffTrail (1-6),PictureNo.,BattsChangedY/N,CameraRefusealY/N,Track Transet,CameraSiteInfo/Comments (Tracks/Sign/Disturbance/Change),SiteNo,Check Date,"PROBLEMS (DELETED SITE, MOVED SITE, TEMPORARY FAILURE)",KNOWN PERIOD OF MISSING DATA - START,KNOWN PERIOD OF MISSING DATA - END,TOTAL DAYS,
43,411,28-Oct-11,25-Oct-14,Up-Dec,0515013,6185432,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,320/321,N,N,N/A,Camera is not in a very good location,43,20-Jun-12,,,,0,
43,411,28-Oct-11,25-Oct-14,Up-Dec,0515013,6185432,3,18-Oct-12,LN/KT,N/A,N/A,N/A,N/A,496,Y,N,N/A,"This site sucks""  Luke""",43,18-Oct-12,,,,0,
43,411,28-Oct-11,25-Oct-14,Up-Dec,0515013,6185432,4,27-Jun-13,LN/LR,N/A,N/A,N/A,N/A,253,N,,N/A,Not much sign of anything,43,27-Jun-13,,,,0,
43,411,28-Oct-11,25-Oct-14,Up-Dec,0515013,6185432,5,24-Oct-13,LN/NV,N/A,N/A,N/A,N/A,173,Y,N,Trail used but no tracks or scat,No comments,43,24-Oct-13,,,,0,
44,467,28-Oct-11,25-Oct-14,Up-Dec,0518500,6185445,1,26-Jan-12,JDE/LNO,26.0,26.0,3,2,137/138,N,N,SNHA,"Possible lick small tree in opening, new big buck rub, no well defined trail but still harder than surronding snow",44,26-Jan-12,,,,0,
44,467,28-Oct-11,25-Oct-14,Up-Dec,0518500,6185445,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,312/318,N,N,N/A,No comments,44,20-Jun-12,,,,0,
44,467,28-Oct-11,25-Oct-14,Up-Dec,0518500,6185445,3,18-Oct-12,LN/KT,N/A,N/A,N/A,N/A,2238,Y,N,N/A,"Majority of pictures are from the tree moving that the camera is attatched to, deer tracks in lick area",44,18-Oct-12,,,,0,
44,467,28-Oct-11,25-Oct-14,Up-Dec,0518500,6185445,4,27-Jun-13,LN/LR,N/A,N/A,N/A,N/A,536,,,N/A,Fresh bear and deer tracks nearby,44,27-Jun-13,,,,0,
44,467,28-Oct-11,25-Oct-14,Up-Dec,0518500,6185445,5,24-Oct-13,LN/NV,N/A,N/A,N/A,N/A,704,Y,N,Old deer scat on trail but area looks used,"Lick approx 15m away, many deer tracks, camera was reading card for longer than usual, changed batteries",44,24-Oct-13,Temporary Failure,11-Sep-13,24-Oct-13,43,
45,523,28-Oct-11,25-Oct-14,Up-Dec,0521618,6185550,1,25-Jan-12,JDE/LNO,23.0,24.0,3,2,133,N,N,UNDE,"Grassy site trail intersection, Luke dislikes location, camera may be flashing in the eyes of the deer due to position",45,25-Jan-12,,,,0,
45,523,28-Oct-11,25-Oct-14,Up-Dec,0521618,6185550,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,314,N,N,N/A,Deer scat,45,20-Jun-12,,,,0,
45,523,28-Oct-11,25-Oct-14,Up-Dec,0521618,6185550,3,18-Oct-12,LN/KT,N/A,N/A,N/A,N/A,682,Y,N,N/A,No comments,45,18-Oct-12,,,,0,
45,523,28-Oct-11,25-Oct-14,Up-Dec,0521618,6185550,4,25-Jun-13,LN/LR,N/A,N/A,N/A,N/A,973,Y,,Deer scat on NS trail,Batteries 16%,45,25-Jun-13,,,,0,
45,523,28-Oct-11,25-Oct-14,Up-Dec,0521618,6185550,5,24-Oct-13,LN/NV,N/A,N/A,N/A,N/A,594,Y,N,No scat or tracks on trail,No comments,45,24-Oct-13,,,,0,
,,,25-Oct-14,,,,,,,,,,,,,,,,45,25-Oct-14,Temporary Failure,15-Jan-14,25-Oct-14,283,
46,571,28-Oct-11,25-Oct-14,Up-Mix,0524842,6185596,1,25-Jan-12,JDE/LNO,17.0,20.0,3,2,132,N,N,LYNX/SNHA/UNDE,Last site of the day cut down large Sw,46,25-Jan-12,,,,0,
46,571,28-Oct-11,25-Oct-14,Up-Mix,0524842,6185596,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,304/305,N,N,N/A,No comments,46,20-Jun-12,,,,0,
46,571,28-Oct-11,25-Oct-14,Up-Mix,0524842,6185596,3,18-Oct-12,LN/KT,N/A,N/A,N/A,N/A,514,Y,N,N/A,"New blow down blocking trail nothing we can do about it, old deer scat on trail",46,18-Oct-12,,,,0,
46,571,28-Oct-11,25-Oct-14,Up-Mix,0524842,6185596,4,25-Jun-13,LN/LR,N/A,N/A,N/A,N/A,796,Y,,Old deer scat on trail,Camera said 0% batteries changed,46,25-Jun-13,,,,0,
46,571,28-Oct-11,25-Oct-14,Up-Mix,0524842,6185596,5,24-Oct-13,LN/NV,N/A,N/A,N/A,N/A,419,Y,N,No tracks or scat on trail,Trail appears less used than previous visits,46,24-Oct-13,,,,0,
47,623,29-Oct-11,25-Oct-14,Up-Con,0528034,6185876,1,25-Jan-12,JDE/LNO,13.0,18.0,4,3,131,N,Y,UNDE,"Fire stand walk across fire to mature timber, snow hardness trail compacted would almost call it a 5, aversion of camera",47,25-Jan-12,,,,0,
47,623,29-Oct-11,25-Oct-14,Up-Con,0528034,6185876,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,302/303,N,N,N/A,No comments,47,20-Jun-12,,,,0,
47,623,29-Oct-11,25-Oct-14,Up-Con,0528034,6185876,3,18-Oct-12,LN/KT,N/A,N/A,N/A,N/A,1100,Y,N,N/A,"Crazy amount of new blow down, we cleared as much as we could, may influence for better or worse",47,18-Oct-12,,,,0,
47,623,29-Oct-11,25-Oct-14,Up-Con,0528034,6185876,4,25-Jun-13,LN/LR,N/A,N/A,N/A,N/A,1262,N,,"Fresh tracks on trail unknown species, fresh deer tracks on trail 100m away",No comments,47,25-Jun-13,,,,0,
47,623,29-Oct-11,25-Oct-14,Up-Con,0528034,6185876,5,23-Oct-13,LN/NV,N/A,N/A,N/A,N/A,231,Y,N,Old deer tracks on trail,Fresh deer scat approx 35m away,47,23-Oct-13,,,,0,
48,632,29-Oct-11,25-Oct-14,Lo-Con,0503778,6186429,1,25-Jan-12,JDE/LNO,27.0,33.0,2,2,130,N,N,UNDE/FISHER,Deer bedded investigated in front of camera ,48,25-Jan-12,,,,0,
48,632,29-Oct-11,25-Oct-14,Lo-Con,0503778,6186429,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,297/298,N,N,N/A,No comments,48,20-Jun-12,,,,0,
48,632,29-Oct-11,25-Oct-14,Lo-Con,0503778,6186429,3,18-Oct-12,LN/KT,N/A,N/A,N/A,N/A,649,Y,N,N/A,"Deer scat, squirrel chewed",48,18-Oct-12,,,,0,
48,632,29-Oct-11,25-Oct-14,Lo-Con,0503778,6186429,4,25-Jun-13,LN/LR,N/A,N/A,N/A,N/A,163,N,,Deer track nearby,Ants on camera and tree the tree is dying,48,25-Jun-13,,,,0,
48,632,29-Oct-11,25-Oct-14,Lo-Con,0503778,6186429,5,23-Oct-13,LN/NV,N/A,N/A,N/A,N/A,277,Y,N,Fresh deer scat on trail in front of camera,Ruffed grouse approx 30m from camera,48,23-Oct-13,,,,0,
,,,25-Oct-14,,,,,,,,,,,,,,,,48,25-Oct-14,Temporary Failure,07-Jan-14,25-Oct-14,291,
49,635,29-Oct-11,25-Oct-14,Up-Dec,0532295,6187485,1,25-Jan-12,JDE/LNO,22.0,26.0,3,2,129,N,N,NONE,"Camera set in saddle close to the road, possible deer but not sure",49,25-Jan-12,,,,0,
49,635,29-Oct-11,25-Oct-14,Up-Dec,0532295,6187485,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,292/293,N,N,N/A,No comments,49,20-Jun-12,,,,0,
49,635,29-Oct-11,25-Oct-14,Up-Dec,0532295,6187485,3,18-Oct-12,LN/KT,N/A,N/A,N/A,N/A,758,Y,N,N/A,No comments,49,18-Oct-12,,,,0,
49,635,29-Oct-11,25-Oct-14,Up-Dec,0532295,6187485,4,25-Jun-13,LN/LR,N/A,N/A,N/A,N/A,146,N,,No tracks or scat on trail,Camera off but ok malfunction,49,25-Jun-13,Temporary Failure,16-Feb-13,25-Jun-13,129,
49,635,29-Oct-11,25-Oct-14,Up-Dec,0532295,6187485,5,23-Oct-13,LN/NV,N/A,N/A,N/A,N/A,40,Y,N,No tracks or scat on trail,"Camera was not on when we checked it, changed batteries still not working card issue put in new camera",49,23-Oct-13,Temporary Failure,08-Jul-13,23-Oct-13,107,
50,640,29-Oct-11,25-Oct-14,Lo-Mix,0534313,6188292,1,25-Jan-12,JDE/LNO,17.0,23.0,3,3,128,N,N,UNDE/SNHA,"Old buck rub, camera set along Sb edge instead of the Aw ridge",50,25-Jan-12,,,,0,
50,640,29-Oct-11,25-Oct-14,Lo-Mix,0534313,6188292,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,290/291,N,N,N/A,No comments,50,20-Jun-12,,,,0,
50,640,29-Oct-11,25-Oct-14,Lo-Mix,0534313,6188292,3,18-Oct-12,LN/KT,N/A,N/A,N/A,N/A,700,Y,N,N/A,Camera was mauled by bear had to replace camera,50,18-Oct-12,,,,0,
50,640,29-Oct-11,25-Oct-14,Lo-Mix,0534313,6188292,4,25-Jun-13,LN/LR,N/A,N/A,N/A,N/A,762,N,,N/A,No comments,50,25-Jun-13,,,,0,
50,640,29-Oct-11,25-Oct-14,Lo-Mix,0534313,6188292,5,23-Oct-13,LN/NV,N/A,N/A,N/A,N/A,314,Y,N,No tracks or scat on trail,Old buck rub in front of camera,50,23-Oct-13,,,,0,
51,649,29-Oct-11,25-Oct-14,Up-Dec,0537393,6191911,1,25-Jan-12,JDE/LNO,16.0,20.0,4,4,127,N,N,UNDE,"On bottom of creek, deer scrape in area, deer milling about, there isn't much of a snow crust but the snow is dense very granular hard to get into",51,25-Jan-12,,,,0,
51,649,29-Oct-11,25-Oct-14,Up-Dec,0537393,6191911,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,288/289,N,N,N/A,No comments,51,20-Jun-12,,,,0,
51,649,29-Oct-11,25-Oct-14,Up-Dec,0537393,6191911,3,18-Oct-12,LN/KT,N/A,N/A,N/A,N/A,1040,Y,N,N/A,Plenty of tracks in the area fresh deer scat,51,18-Oct-12,,,,0,
51,649,29-Oct-11,25-Oct-14,Up-Dec,0537393,6191911,4,25-Jun-13,LN/LR,N/A,N/A,N/A,N/A,804,N,,Lots of winter deer scat on trail,No comments,51,25-Jun-13,,,,0,
51,649,29-Oct-11,25-Oct-14,Up-Dec,0537393,6191911,5,23-Oct-13,LN/NV,N/A,N/A,N/A,N/A,306,Y,N,Old deer scat on trail,Trail is lightly used,51,23-Oct-13,,,,0,
52,659,29-Oct-11,25-Oct-14,Lo-Mix,0541358,6191251,1,25-Jan-12,JDE/LNO,18.0,27.0,3,2,125,N,Y,SNHA/UNKNOWN,"Good trail on edge of Sb/Pj stand some deer avoiding camera, sniffing evidence its snowing",52,25-Jan-12,,,,0,
52,659,29-Oct-11,25-Oct-14,Lo-Mix,0541358,6191251,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,286/287,N,N,N/A,Deer scat,52,20-Jun-12,,,,0,
52,659,29-Oct-11,25-Oct-14,Lo-Mix,0541358,6191251,3,18-Oct-12,LN/KT,N/A,N/A,N/A,N/A,335,Y,N,N/A,Bear chewed camera replaced with new one,52,18-Oct-12,,,,0,
52,659,29-Oct-11,25-Oct-14,Lo-Mix,0541358,6191251,4,25-Jun-13,LN/LR,N/A,N/A,N/A,N/A,390,N,,Older deer scat on trail,No comments,52,25-Jun-13,,,,0,
52,659,29-Oct-11,25-Oct-14,Lo-Mix,0541358,6191251,5,23-Oct-13,LN/NV,N/A,N/A,N/A,N/A,192,N,N,Trail is worn but no scat or tracks,"Bear scratch marks on aspen tree approx 4m from camera, batteries were not changed because a new camera was deployed last check",52,23-Oct-13,,,,0,
53,703,29-Oct-11,25-Oct-14,Lo-Mix,0546659,6193934,1,25-Jan-12,JDE/LNO,32.0,32.0,3,3,109,N,N,UNDE,"Open Pj stand good trail, theft concerns, not a heavy trail, coyote walking on top of snow",53,25-Jan-12,,,,0,
53,703,29-Oct-11,25-Oct-14,Lo-Mix,0546659,6193934,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,273/274,N,N,N/A,No comments,53,20-Jun-12,,,,0,
53,703,29-Oct-11,25-Oct-14,Lo-Mix,0546659,6193934,3,18-Oct-12,LN/KT,N/A,N/A,N/A,N/A,381,Y,N,N/A,Deer tracks and scat,53,18-Oct-12,,,,0,
53,703,29-Oct-11,25-Oct-14,Lo-Mix,0546659,6193934,4,25-Jun-13,LN/LR,N/A,N/A,N/A,N/A,324,N,,Old moose and deer scat and tracks on trail,No comments,53,25-Jun-13,,,,0,
53,703,29-Oct-11,25-Oct-14,Lo-Mix,0546659,6193934,5,23-Oct-13,LN/NV,N/A,N/A,N/A,N/A,353,N,N,Fresh deer scat approx 5m away,Bear chewed on camera put in new camera thus batteries were not changed,53,23-Oct-13,,,,0,
54,693,30-Oct-11,25-Oct-14,Lo-Mix,0545149,6189743,1,25-Jan-12,JDE/LNO,15.0,15.0,3,3,124,N,N,FISHER/SNHA/RESQ,Bear chew toy,54,25-Jan-12,,,,0,
54,693,30-Oct-11,25-Oct-14,Lo-Mix,0545149,6189743,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,284/285,N,N,N/A,No comments,54,20-Jun-12,,,,0,
54,693,30-Oct-11,25-Oct-14,Lo-Mix,0545149,6189743,3,18-Oct-12,LN/KT,N/A,N/A,N/A,N/A,179,Y,N,N/A,"Squirrel chewed camera and cord, middens all over trail",54,18-Oct-12,,,,0,
54,693,30-Oct-11,25-Oct-14,Lo-Mix,0545149,6189743,4,25-Jun-13,LN/LR,N/A,N/A,N/A,N/A,396,N,,Squirrel sign,No comments,54,25-Jun-13,,,,0,
54,693,30-Oct-11,25-Oct-14,Lo-Mix,0545149,6189743,5,23-Oct-13,LN/NV,N/A,N/A,N/A,N/A,89,N,N,Old bear and deer tracks on trail,Trail is in use,54,23-Oct-13,,,,0,
,,,25-Oct-14,,,,,,,,,,,,,,,,54,25-Oct-14,Temporary Failure,25-Oct-13,25-Oct-14,365,
55,683,30-Oct-11,25-Oct-14,Lo-Mix,0544703,6185664,1,25-Jan-12,JDE/LNO,16.0,35.0,5,3,122,N,N,RESQ,"Heavy moss site in Pj, Sb stand lots of cutting downed wood, trail heavy use compacted snow, photo #123 Luke testing detecting bands, something large on trail",55,25-Jan-12,,,,0,
55,683,30-Oct-11,25-Oct-14,Lo-Mix,0544703,6185664,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,282/283,N,N,N/A,No comments,55,20-Jun-12,,,,0,
55,683,30-Oct-11,25-Oct-14,Lo-Mix,0544703,6185664,3,18-Oct-12,LN/KT,N/A,N/A,N/A,N/A,355,Y,N,N/A,Deer scat on trail,55,18-Oct-12,,,,0,
55,683,30-Oct-11,25-Oct-14,Lo-Mix,0544703,6185664,4,25-Jun-13,LN/LR,N/A,N/A,N/A,N/A,188,N,,"Fresh bear and ungulate tracks on trail, old coyote and bear tracks on road",No comments,55,25-Jun-13,,,,0,
55,683,30-Oct-11,25-Oct-14,Lo-Mix,0544703,6185664,5,23-Oct-13,LN/NV,N/A,N/A,N/A,N/A,111,Y,N,No scat but a few old tracks,No comments,55,23-Oct-13,,,,0,
56,681,30-Oct-11,25-Oct-14,Up-Dec,0544355,6183113,1,25-Jan-12,JDE/LNO,16.0,27.0,3,2,116,N,N,LYNX/MOUSE or VOLE,"On edge of sedge medow, good spot, fisher tracks in area, camera malfunction  well used trail",56,25-Jan-12,Temporary Failure,18-Nov-11,25-Jan-12,68,
56,681,30-Oct-11,25-Oct-14,Up-Dec,0544355,6183113,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,280/281,N,N,N/A,No comments,56,20-Jun-12,,,,0,
56,681,30-Oct-11,25-Oct-14,Up-Dec,0544355,6183113,3,18-Oct-12,LN/KT,N/A,N/A,N/A,N/A,,Y,N,N/A,"Camera malfunctioning replacing with new camera, deer scat on trail",56,18-Oct-12,Temporary Failure,20-Aug-12,18-Oct-12,59,
56,681,30-Oct-11,25-Oct-14,Up-Dec,0544355,6183113,4,25-Jun-13,LN/LR,N/A,N/A,N/A,N/A,410,N,,N/A,"Water up, camera location 6"" water in sedge marsh",56,25-Jun-13,,,,0,
56,681,30-Oct-11,25-Oct-14,Up-Dec,0544355,6183113,5,23-Oct-13,LN/NV,N/A,N/A,N/A,N/A,1368,Y,N,Trail is in use but no obvious tracks or scat,"Meadow is wet (standing water), but there is still a trail through it",56,23-Oct-13,,,,0,
,,,25-Oct-14,,,,,,,,,,,,,,,,56,25-Oct-14,Temporary Failure,08-Nov-13,11-Jun-14,215,
57,679,30-Oct-11,25-Oct-14,Up-Mix,0544622,6181716,1,25-Jan-12,JDE/LNO,26.0,33.0,4,3,115,N,N,NONE,"Long walk scrape in area, cutdown large dead falling tree, red squirrel in area",57,25-Jan-12,Temporary Failure,11-Nov-12,25-Jun-13,226,
57,679,30-Oct-11,25-Oct-14,Up-Mix,0544622,6181716,2,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,275/276,N,N,N/A,No comments,57,20-Jun-12,,,,0,
57,679,30-Oct-11,25-Oct-14,Up-Mix,0544622,6181716,3,18-Oct-12,LN/KT,N/A,N/A,N/A,N/A,348,Y,N,N/A,Cleared away some small debris from trail,57,18-Oct-12,,,,0,
57,679,30-Oct-11,25-Oct-14,Up-Mix,0544622,6181716,4,25-Jun-13,LN/LR,N/A,N/A,N/A,N/A,166,Y,,Bear scrapping at base of tree with camera,"Camera dead malfunction, new camera added",57,25-Jun-13,,,,0,
57,679,30-Oct-11,25-Oct-14,Up-Mix,0544622,6181716,5,23-Oct-13,LN/NV,N/A,N/A,N/A,N/A,141,N,N,Trail looks used but no scat or tracks,Camera and batteries were changed in July,57,23-Oct-13,,,,0,
58,161,30-Oct-11,24-Oct-14,Up-Mix,0498361,6161666,1,27-Jan-12,JDE/LNO,25.0,23.0,2,2,179,N,N,NONE,"Semi long walk over hill trail intersection, limited tracks",58,27-Jan-12,,,,0,
58,161,30-Oct-11,24-Oct-14,Up-Mix,0498361,6161666,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,267/268,N,N,N/A,No comments,58,19-Jun-12,,,,0,
58,161,30-Oct-11,24-Oct-14,Up-Mix,0498361,6161666,3,19-Oct-12,LN/KT,N/A,N/A,N/A,N/A,670,Y,N,N/A,No comments,58,19-Oct-12,,,,0,
58,161,30-Oct-11,24-Oct-14,Up-Mix,0498361,6161666,4,26-Jun-13,LN/LR,N/A,N/A,N/A,N/A,N/A,Y,,N/A,"Low batteries changed batteries still low, changed camera ended March 16 -23 degrees 549 pictures",58,26-Jun-13,Temporary Failure,16-Mar-13,26-Jun-13,102,
58,161,30-Oct-11,24-Oct-14,Up-Mix,0498361,6161666,5,25-Oct-13,LN/NV,N/A,N/A,N/A,N/A,174,,N,No obvious scat or tracks on trail,Near old line approx 1m away trail appears well used,58,25-Oct-13,,,,0,
59,306,31-Oct-11,19-Jun-12,Lo-Mix,0508135,6152636,1,24-Jan-12,JDE/LNO,11.0,24.0,4,2,108,N,N,UNDE/SNHA/RESQ,"On old seismic line big spruce tree scrape, lots of deer activity in area, no significant changes",59,24-Jan-12,,,,0,
59,306,31-Oct-11,19-Jun-12,Lo-Mix,0508135,6152636,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,255/256,N,N,N/A,Tree fell over camera moved to new location in the same grid site becomes 59A,59,19-Jun-12,Temporary Failure,06-Jun-12,19-Jun-12,13,
59A,306,19-Jun-12,24-Oct-14,Lo-Mix,0508135,6152636,3,16-Oct-12,LN/KT,N/A,N/A,N/A,N/A,1126,Y,N,N/A,Lots of deer sign,59A,16-Oct-12,,,,0,
59A,306,19-Jun-12,24-Oct-14,Lo-Mix,0508135,6152636,4,27-Jun-13,LN/LR,N/A,N/A,N/A,N/A,2013/2016,N,,N/A,"Deer scat on trail, raining hard",59A,27-Jun-13,,,,0,
59A,306,19-Jun-12,24-Oct-14,Lo-Mix,0508135,6152636,5,25-Oct-13,LN/NV,N/A,N/A,N/A,N/A,639,Y,N,Old deer scat on trail in front of camera,Well used trail,59A,25-Oct-13,,,,0,
60,526,31-Oct-11,24-Oct-14,Up-Dec,0522093,6134612,1,24-Jan-12,JDE/LNO,8.0,18.0,3,3,98,N,Y,SNHA,"Airstrip, camera refusal?, two crust layers of snow, coyote and/or deer are using trail too hard to distinguish",60,24-Jan-12,,,,0,
60,526,31-Oct-11,24-Oct-14,Up-Dec,0522093,6134612,2,19-Jun-12,LN/PL,N/A,N/A,N/A,N/A,229/230,N,Y,N/A,7ft fence around air strip new 3D seismic in area freshly seeded around runway,60,19-Jun-12,,,,0,
60,526,31-Oct-11,24-Oct-14,Up-Dec,0522093,6134612,3,16-Oct-12,LN/KT,N/A,N/A,N/A,N/A,1800,Y,N,N/A,Cleared out Sherwood forest so camera has view of seismic line,60,16-Oct-12,,,,0,
60,526,31-Oct-11,24-Oct-14,Up-Dec,0522093,6134612,4,26-Jun-13,LN/LR,N/A,N/A,N/A,N/A,1975,N,,Old deer scat on trail,No comments,60,26-Jun-13,,,,0,
60,526,31-Oct-11,24-Oct-14,Up-Dec,0522093,6134612,5,22-Oct-13,LN/GC,N/A,N/A,N/A,N/A,485,Y,N,Deer tracks,No comments,60,22-Oct-13,,,,0,
,,,24-Oct-14,,,,,,,,,,,,,,,,60,24-Oct-14,Temporary Failure,15-Jan-14,24-Oct-14,282,
61,324,28-Jan-12,25-Oct-14,Up-Mix,0508807,6184265,1,20-Jun-12,LN/PL,N/A,N/A,N/A,N/A,336/337,N,N,N/A,Wide cutline freshly made 30m from camera,61,20-Jun-12,,,,0,
61,324,28-Jan-12,25-Oct-14,Up-Mix,0508807,6184265,2,17-Oct-12,LN/KT,N/A,N/A,N/A,N/A,450,Y,N,Deer scat on trail,No comments,61,17-Oct-12,,,,0,
61,324,28-Jan-12,25-Oct-14,Up-Mix,0508807,6184265,3,27-Jun-13,LN/LR,N/A,N/A,N/A,N/A,693,N,,N/A,No comments,61,27-Jun-13,,,,0,
61,324,28-Jan-12,25-Oct-14,Up-Mix,0508807,6184265,4,24-Oct-13,LN/NV,N/A,N/A,N/A,N/A,136,Y,N,Old scat on trail in front of camera,Didn’t replace silica tabs,61,24-Oct-13,,,,0,
62,554,28-Jan-12,25-Oct-14,Up-Con,0523138,6172034,1,21-Jun-12,LN/PL,N/A,N/A,N/A,N/A,351/352,N,N,N/A,No comments,62,21-Jun-12,,,,0,
62,554,28-Jan-12,25-Oct-14,Up-Con,0523138,6172034,2,17-Oct-12,LN/KT,N/A,N/A,N/A,N/A,694,Y,N,N/A,No comments,62,17-Oct-12,,,,0,
62,554,28-Jan-12,25-Oct-14,Up-Con,0523138,6172034,3,27-Jun-13,LN/LR,N/A,N/A,N/A,N/A,,N,,N/A,Fresh large ungulate tracks on cutline,62,27-Jun-13,,,,0,
62,554,28-Jan-12,25-Oct-14,Up-Con,0523138,6172034,4,22-Oct-13,LN/GC,N/A,N/A,N/A,N/A,233,Y,Y,Heavily used trail no identifiable tracks,No comments,62,22-Oct-13,,,,0,
63,69,19-Oct-12,23-Oct-14,Up-Mix,0493451,6135761,1,24-Jun-13,LN/LR,N/A,N/A,N/A,N/A,508,N,,N/A,Fresh deer tracks on trail,63,24-Jun-13,,,,0,
63,69,19-Oct-12,23-Oct-14,Up-Mix,0493451,6135761,2,21-Oct-13,LN/GC,N/A,N/A,N/A,N/A,194,Y,N,Active deer use,No comments,63,21-Oct-13,,,,0,
64???,,,25-Oct-14,,,,,,,,,,,,,,,,64???,,,,,0,
,,,25-Oct-14,,,,,,,,,,,,,,,,64,25-Oct-14,Temporary Failure,04-Nov-13,25-Oct-14,355,
